"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
28 "1" "56" "55" "476.926666259766" "74.6040954589844" "587" "91" "1136.20825195313" "4.16759967803955" "9.3156042098999" "272.62890625" "0.791574835777283" "23.5618267059326" "13.812105178833" "90" "284.051818847656" "12.212043762207" "0.00393762765452266" "-0.00390319828875363" "-0.000519572349730879" "15.9115743637085"
29 "1" "56" "55" "473.484954833984" "75.0748519897461" "582" "92" "1154.98010253906" "4.23645496368408" "9.3156042098999" "272.62890625" "0.77475905418396" "19.9129810333252" "15.4557151794434" "85.9143829345703" "288.744873046875" "15.6238851547241" "0.00531783886253834" "-0.00515870004892349" "-0.00129121146164835" "19.3853321075439"
30 "1" "56" "55" "473.21240234375" "73.6744232177734" "582" "90" "1063.21203613281" "4.26094770431519" "8.91213798522949" "249.524780273438" "0.815815627574921" "18.6869659423828" "13.812105178833" "90" "265.802764892578" "16.0002765655518" "0.00603766972199082" "-0.00487408088520169" "-0.00356325577013195" "20.8120365142822"
31 "1" "56" "55" "469.975616455078" "72.5093078613281" "578" "89" "1007.74078369141" "4.08159685134888" "8.86485862731934" "246.884307861328" "0.808458149433136" "19.1617641448975" "16.2342720031738" "-58.3924942016602" "251.934997558594" "19.3672904968262" "0.00185022200457752" "-0.00129063928034157" "0.00132573442533612" "24.2521343231201"
32 "1" "56" "55" "472.283142089844" "74.6289520263672" "581" "91" "1096.62841796875" "4.12223339080811" "9.20213317871094" "266.027740478516" "0.790114402770996" "21.1243953704834" "17.8744888305664" "0" "274.156829833984" "16.8438816070557" "0.00290786940604448" "0.000773662992287427" "0.00280306069180369" "27.3854331970215"
33 "1" "56" "55" "470.532653808594" "74.5275115966797" "579" "91" "1129.54504394531" "4.17347526550293" "9.28170871734619" "270.648590087891" "0.734269499778748" "20.32785987854" "19.2210807800293" "87.3974380493164" "282.386322021484" "18.5973014831543" "0.00685073342174292" "-0.00638520997017622" "-0.00248226593248546" "29.138858795166"
34 "1" "56" "55" "467.685791015625" "72.8417205810547" "575" "89" "1094.57421875" "4.40996837615967" "8.88852977752686" "248.204559326172" "0.831784784793854" "17.06201171875" "17.06201171875" "0" "273.643188476563" "21.5872116088867" "0.00529617955908179" "-0.00494017591699958" "-0.00190897355787456" "32.4474105834961"
35 "1" "56" "55" "466.973754882813" "73.1539154052734" "574" "90" "973.691467285156" "4.44220066070557" "8.35228061676025" "219.159332275391" "0.854085862636566" "19.4164714813232" "14.7962875366211" "-30.256441116333" "243.422790527344" "22.2578754425049" "0.00490392092615366" "-0.00469421269372106" "0.00141873513348401" "33.2248802185059"
36 "1" "56" "55" "464.303985595703" "73.8640747070313" "571" "90" "1029.99035644531" "4.78607273101807" "8.27646350860596" "215.198623657227" "0.850298762321472" "17.8744888305664" "14.6245813369751" "0" "257.497283935547" "24.8551959991455" "0.00545300915837288" "-0.00544309429824352" "0.000328684924170375" "35.9874877929688"
37 "1" "56" "55" "463.058197021484" "73.3918838500977" "569" "90" "1064.55773925781" "4.50468397140503" "8.67316341400146" "236.322402954102" "0.783723115921021" "19.3034648895264" "15.3968105316162" "8.13010406494141" "266.13916015625" "26.1331310272217" "0.00371925462968647" "-0.00286923348903656" "0.00236650672741234" "37.3197631835938"
