"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
19 "1" "3" "3" "74.9747924804688" "434.530944824219" "92" "534" "1574.82006835938" "2.60443544387817" "13.8734273910522" "604.668518066406" "0.498783707618713" "30.904577255249" "26.5718021392822" "-70.7099533081055" "393.704742431641" "6.03510236740112" "0.00339463143609464" "0.00327071081846952" "-0.000908830435946584" "34.8469924926758"
20 "1" "3" "3" "76.7103271484375" "434.187042236328" "94" "534" "1523.57165527344" "2.64682078361511" "13.5361213684082" "575.623291015625" "0.52322918176651" "32.172435760498" "22.9803123474121" "-45" "380.892364501953" "4.68673610687256" "0.00889434292912483" "0.00834264792501926" "-0.00308375898748636" "36.6162719726563"
21 "1" "3" "3" "80.9814987182617" "432.310638427734" "99" "532" "1490.56896972656" "3.03499007225037" "12.5032377243042" "491.128173828125" "0.585191249847412" "30.593240737915" "25.0163497924805" "-11.3099327087402" "372.642028808594" "4.63580513000488" "0.0116771776229143" "0.010879167355597" "-0.00424266373738647" "41.2814407348633"
22 "1" "3" "3" "84.543327331543" "431.13232421875" "104" "530" "1479.48168945313" "2.79107928276062" "12.9895401000977" "530.075134277344" "0.543788313865662" "29.9323501586914" "23.382360458374" "-7.76516675949097" "369.869842529297" "7.05366086959839" "0.00514233717694879" "-0.00225393497385085" "-0.00462205661460757" "45.0331153869629"
23 "1" "3" "3" "79.3586654663086" "428.982757568359" "97" "527" "1519.47424316406" "2.97009134292603" "12.7610635757446" "511.591827392578" "0.580700159072876" "27.7251243591309" "23.2636070251465" "-11.3099327087402" "379.868225097656" "8.02406120300293" "0.0125002264976501" "-0.0124572329223156" "0.00103585980832577" "50.6457214355469"
24 "1" "3" "3" "75.5741195678711" "431.878143310547" "93" "531" "1583.83825683594" "2.88380336761475" "13.2220163345337" "549.218566894531" "0.562057554721832" "28.15087890625" "24.7038326263428" "-45" "395.959075927734" "7.06177282333374" "0.00593720376491547" "-0.00207294896245003" "0.00556356646120548" "55.4108085632324"
25 "1" "3" "3" "77.8661422729492" "432.988525390625" "95" "532" "1591.251953125" "3.23999333381653" "12.5032377243042" "491.128173828125" "0.619977056980133" "28.7047004699707" "21.8010387420654" "26.5650482177734" "397.812561035156" "4.74337005615234" "0.00304411863908172" "0.00183894298970699" "-0.00242589088156819" "57.9576301574707"
26 "1" "3" "3" "76.8954696655273" "430.123565673828" "94" "529" "1611.16418457031" "3.55774235725403" "12.0059928894043" "452.841278076172" "0.679001271724701" "27.9780006408691" "19.6209335327148" "26.5650482177734" "402.790985107422" "7.70307493209839" "0.00708469655364752" "0.00074845488416031" "-0.00704505061730742" "60.9825630187988"
27 "1" "3" "3" "78.3981552124023" "427.914306640625" "96" "526" "1654.65734863281" "3.79758882522583" "11.7762765884399" "435.67822265625" "0.709105432033539" "29.2491626739502" "18.6869659423828" "0" "413.663909912109" "9.25417137145996" "0.00365665880963206" "0.00188397977035493" "-0.00313397101126611" "63.6544303894043"
28 "1" "3" "3" "78.2477493286133" "427.873260498047" "96" "526" "1731.03259277344" "3.20967698097229" "13.1022844314575" "539.316833496094" "0.590956032276154" "38.9988861083984" "18.6869659423828" "0" "432.757629394531" "9.32954978942871" "0.00385155435651541" "-0.00131561490707099" "-0.00361989345401526" "63.8103370666504"
29 "1" "3" "3" "77.4509124755859" "425.307983398438" "95" "523" "1649.85913085938" "3.46648836135864" "12.3084573745728" "475.945404052734" "0.631689608097076" "37.5249176025391" "17.6100635528564" "12.8042678833008" "412.464660644531" "12.012508392334" "0.00496879126876593" "0.00130719074513763" "-0.00479376036673784" "66.4965209960938"
30 "1" "3" "3" "79.1889266967773" "424.421752929688" "97" "522" "1577.83020019531" "3.43309712409973" "12.0931825637817" "459.442474365234" "0.626520454883575" "37.2114372253418" "18.1994800567627" "36.8698997497559" "394.456909179688" "12.5714206695557" "0.00626810360699892" "0.00607274379581213" "-0.00155270891264081" "68.4474487304688"
31 "1" "3" "3" "81.8232879638672" "424.190032958984" "100" "522" "1650.33215332031" "3.45789003372192" "12.3255176544189" "477.265686035156" "0.605174124240875" "42.3256378173828" "17.4341316223145" "7.12501525878906" "412.582611083984" "12.7999143600464" "0.0171979460865259" "0.0165456980466843" "0.00469139963388443" "71.0919799804688"
32 "1" "3" "3" "91.1018295288086" "427.799560546875" "112" "526" "1572.72839355469" "4.82105827331543" "10.1882476806641" "326.098541259766" "0.873127043247223" "20.311918258667" "18.6869659423828" "0" "393.181671142578" "13.9751462936401" "0.0105247283354402" "0.0102717615664005" "0.00229365029372275" "81.0478820800781"
33 "1" "3" "3" "89.2189559936523" "425.841461181641" "109" "524" "1618.67272949219" "5.03352165222168" "10.1158056259155" "321.477691650391" "0.891453683376312" "21.0743389129639" "18.5308799743652" "26.5650482177734" "404.667694091797" "14.0907115936279" "0.00412421626970172" "-0.00411651376634836" "0.00025193954934366" "83.7643814086914"
34 "1" "3" "3" "88.137939453125" "427.98095703125" "108" "526" "1652.46936035156" "4.09022951126099" "11.3399648666382" "403.992523193359" "0.737915456295013" "35.2954330444336" "18.7625312805176" "21.2505035400391" "413.116943359375" "11.7498750686646" "0.00385870691388845" "-0.00305091869086027" "0.00236252299509943" "86.1614685058594"
35 "1" "3" "3" "87.0191955566406" "427.541259765625" "107" "526" "1626.91967773438" "4.68442296981812" "10.513053894043" "347.222320556641" "0.855294764041901" "21.2731132507324" "20.0661277770996" "-21.8014068603516" "406.729553222656" "11.4154796600342" "0.0031693889759481" "0.00113931437954307" "0.00295753101818264" "87.3635177612305"
36 "1" "3" "3" "88.9551467895508" "430.109161376953" "109" "529" "1608.16430664063" "4.70002222061157" "10.4328002929688" "341.941345214844" "0.864743709564209" "21.9368724822998" "18.6869659423828" "0" "402.040740966797" "10.8468351364136" "0.00619572307914495" "0.00438287621363997" "0.00437919888645411" "90.5794219970703"
37 "1" "3" "3" "90.1714782714844" "430.692657470703" "110" "530" "1644.9453125" "4.0308952331543" "11.3954181671143" "407.953216552734" "0.731881976127625" "24.8513851165771" "22.648250579834" "-49.3987045288086" "411.236145019531" "11.491415977478" "0.00404422450810671" "0.00166059157345444" "-0.00368757219985127" "91.928466796875"
38 "1" "3" "3" "90.1473846435547" "427.452484130859" "110" "526" "1593.4169921875" "4.04265642166138" "11.2001333236694" "394.090728759766" "0.724325954914093" "26.8117332458496" "18.6869659423828" "0" "398.354064941406" "13.5078220367432" "0.00875535793602467" "0.0046412949450314" "-0.00742392614483833" "95.1687316894531"
39 "1" "3" "3" "93.5225601196289" "425.341583251953" "115" "523" "1547.04223632813" "4.70598030090332" "10.2294120788574" "328.739013671875" "0.871606588363647" "20.311918258667" "17.8744888305664" "0" "386.760162353516" "17.4157791137695" "0.0199771299958229" "0.0164911318570375" "-0.0112751172855496" "99.1496505737305"
40 "1" "3" "3" "102.030349731445" "419.328552246094" "125" "516" "1569.79248046875" "4.94197416305542" "10.053297996521" "317.516998291016" "0.899150192737579" "20.311918258667" "18.6869659423828" "0" "392.447723388672" "27.7929439544678" "0.011611670255661" "0.00820732023566961" "-0.00821406021714211" "109.567855834961"
41 "1" "3" "3" "99.4390487670898" "419.427185058594" "122" "516" "1614.02783203125" "4.64741039276123" "10.513053894043" "347.222320556641" "0.840691387653351" "20.311918258667" "19.4994430541992" "90" "403.506500244141" "25.7720623016357" "0.0026896926574409" "-0.00266460492275655" "-0.00036650657420978" "112.161033630371"
42 "1" "3" "3" "100.120941162109" "419.063385009766" "123" "515" "1635.46936035156" "4.30044078826904" "11.0013818740845" "380.228240966797" "0.784827291965485" "24.3743019104004" "19.4994430541992" "0" "408.866882324219" "26.5204429626465" "0.00935228634625673" "-0.00921405758708715" "-0.00160200090613216" "112.933906555176"
43 "1" "3" "3" "92.8271331787109" "418.274932861328" "114" "514" "1632.16564941406" "3.62271118164063" "11.9709377288818" "450.200775146484" "0.671800315380096" "30.0616397857666" "18.6869659423828" "90" "408.041046142578" "22.3455371856689" "0.0132738538086414" "-0.0101795298978686" "0.00851894076913595" "120.270202636719"
44 "1" "3" "3" "92.8119964599609" "425.19921875" "114" "523" "1597.96435546875" "4.77373170852661" "10.3214330673218" "334.680084228516" "0.868791699409485" "20.311918258667" "19.4994430541992" "0" "399.490661621094" "16.989631652832" "0.010015306994319" "0.000161575037054718" "0.0100140031427145" "127.19450378418"
45 "1" "3" "3" "92.9438323974609" "425.485809326172" "114" "523" "1634.74365234375" "4.56863832473755" "10.6717500686646" "357.784210205078" "0.813702762126923" "22.2076206207275" "20.2688598632813" "40.6012954711914" "408.685485839844" "16.8899211883545" "0.00952028017491102" "-0.00401941314339638" "0.0086301825940609" "127.509963989258"
46 "1" "3" "3" "89.9267883300781" "431.397277832031" "110" "530" "1667.00927734375" "4.67438554763794" "10.652042388916" "356.463989257813" "0.848337590694427" "21.1243953704834" "19.4994430541992" "90" "416.752044677734" "10.913459777832" "0.00691348779946566" "-0.0033651131670922" "0.00603923201560974" "134.146835327148"
47 "1" "3" "3" "90.5310287475586" "429.813201904297" "111" "529" "1615.73547363281" "4.52307748794556" "10.6619005203247" "357.124084472656" "0.832273483276367" "20.311918258667" "20.311918258667" "0" "403.933410644531" "12.2824048995972" "0.00546891009435058" "0.00406290264800191" "-0.00366084673441947" "135.842239379883"
48 "1" "3" "3" "92.8537521362305" "428.757080078125" "114" "527" "1648.30810546875" "4.72486400604248" "10.5330209732056" "348.542572021484" "0.861665427684784" "20.6822814941406" "20.1077728271484" "45" "412.076599121094" "14.7956609725952" "0.00696900486946106" "0.00673252763226628" "0.00180002849083394" "138.393798828125"
49 "1" "3" "3" "95.3784484863281" "431.109222412109" "117" "530" "1692.60131835938" "5.04629802703857" "10.3316068649292" "335.340179443359" "0.880448579788208" "21.1243953704834" "18.6869659423828" "90" "423.150054931641" "15.9594383239746" "0.00445598876103759" "0.00403389381244779" "0.00189302233047783" "141.84440612793"
50 "1" "3" "3" "95.7581558227539" "430.120056152344" "117" "529" "1683.71740722656" "4.61052703857422" "10.7794990539551" "365.045532226563" "0.814067900180817" "24.3743019104004" "17.8744888305664" "90" "420.929077148438" "16.6917610168457" "0.00270516169257462" "-0.00118771230336279" "-0.00243048137053847" "142.903945922852"
51 "1" "3" "3" "94.526725769043" "429.361389160156" "116" "528" "1640.08862304688" "4.50846910476685" "10.75998878479" "363.725280761719" "0.812680900096893" "23.5618267059326" "17.8744888305664" "90" "410.021575927734" "15.9213361740112" "0.0106062842532992" "7.58213573135436E-05" "-0.01060601323843" "144.350311279297"
52 "1" "3" "3" "95.8161773681641" "422.48583984375" "117" "519" "1632.40246582031" "4.95397138595581" "10.2396774291992" "329.399108886719" "0.882295608520508" "21.1233215332031" "18.6696014404297" "-66.8014068603516" "408.100128173828" "21.0365924835205" "0.00967143196612597" "0.00616182759404182" "-0.00745442695915699" "151.345733642578"
53 "1" "3" "3" "98.9632415771484" "423.994201660156" "121" "521" "1562.162109375" "4.37913084030151" "10.652042388916" "356.463989257813" "0.801785588264465" "26.0112018585205" "18.9172382354736" "-75.9637603759766" "390.540130615234" "22.5270557403564" "0.0142199145630002" "0.012763224542141" "-0.00626945495605469" "154.835601806641"
54 "1" "3" "3" "105.005699157715" "417.971832275391" "129" "514" "1616.404296875" "4.73433399200439" "10.4227256774902" "341.28125" "0.854757010936737" "21.1243953704834" "18.6869659423828" "90" "404.100616455078" "30.9662761688232" "0.0189703721553087" "0.0112954564392567" "-0.0152409868314862" "163.366729736328"
